your yours
tricorder tricorders
tater taters
backyard backyards
hindquarter hindquarters
cutout cutouts
fistfight fistfights
pothead potheads
pairing pairings
lancer lancers
feller fellers
pantsuit pantsuits
terabyte terabytes
claymore claymores
saber sabers
inhaler inhalers
biopsy biopsies
litigator litigators
iguana iguanas
houseguest houseguests
brainiac brainiacs
breakout breakouts
analyze analyzes analyzed analyzing
popover popovers
neurotoxin neurotoxins
amputee amputees
decal decals
together togethers
diorama dioramas
accoutrement accoutrements
naysayer naysayers
lawmaker lawmakers
nudist nudists
cybernetic cybernetics
blooper bloopers
scrip scrips
terminator terminators
backflip backflips
ladybug ladybugs
gopher gophers
have haves
yip yips
samosa samosas
spic spics
crybaby crybabies
druggie druggies
soulmate soulmates
livre livres
alpaca alpacas
musing musings
stinker stinkers
imperialist imperialists
ranting rantings
beastie beasties
giver givers
honeymooner honeymooners
clover clovers
handprint handprints
transformation transformations
summon summons
sconce sconces
enhancer enhancers
deployment deployments
wisher wishers
cruller crullers
backpacker backpackers
typeface typefaces
brane branes
router routers
hex hexes
gizzard gizzards
sinkhole sinkholes
radar radars
gunslinger gunslingers
supremacist supremacists
biddy biddies
manatee manatees
telemarketer telemarketers
smacker smackers
paralyze paralyzes paralyzed paralyzing
nucleotide nucleotides
methamphetamine methamphetamines
residual residuals
roughneck roughnecks
dalliance dalliances
sniffer sniffers
abductee abductees
bedsheet bedsheets
behoove behooves
bandana bandanas
newsstand newsstands
diuretic diuretics
violator violators
ganger gangers
pantaloon pantaloons
crawly crawlies
scribbling scribblings
haole haoles
levee levees
karat karats
apologise apologises apologised apologising
podcast podcasts
callback callbacks
stomachache stomachaches
tyrannosaur tyrannosaurs
townhouse townhouses
suppository suppositories
keyword keywords
anthropologist anthropologists
pounder pounders
frat frats
mudslide mudslides
optimist optimists
hoarder hoarders
tracer tracers
supercar supercars
microorganism microorganisms
calibration calibrations
preschool preschools
webcam webcams
ciggy ciggies
pawnshop pawnshops
pronouncement pronouncements
lubber lubbers
potshot potshots
aftereffect aftereffects
catheter catheters
goer goers
flirtation flirtations
blimp blimps
launderer launderers
relaxer relaxers
gigabyte gigabytes
depositor depositors
boomer boomers
supercomputer supercomputers
nubbin nubbins
barrette barrettes
metabolite metabolites
brushstroke brushstrokes
spreader spreaders
bunkmate bunkmates
soufflé soufflés
alum alums
weeknight weeknights
impropriety improprieties
multinational multinationals
baseball baseballs
kart karts karting
landline landlines
yogurt yogurts
organiser organisers
exemption exemptions
thanksgiving thanksgivings
tannin tannins
permission permissions
deadbolt deadbolts
teabag teabags
frittata frittatas
wrangler wranglers
baguette baguettes
licker lickers
milliliter milliliters
funder funders
felicitation felicitations
kiloton kilotons
sunspot sunspots
pinstripe pinstripes
disrespect disrespects disrespected disrespecting
rad rads
commonality commonalities
vestment vestments
cryonic cryonics
travail travails
dink dinks
nanomachine nanomachines
nacelle nacelles
artwork artworks
storyline storylines
skateboarder skateboarders
denier deniers
searcher searchers
molding moldings
fixing fixings
siskin siskins
ketchup ketchups
infomercial infomercials
spitball spitballs
dweeb dweebs
mennonite mennonites
sailboat sailboats
allele alleles
microbot microbots
conquistador conquistadors
whistleblower whistleblowers
triglyceride triglycerides
postmortem postmortems
anticoagulant anticoagulants
rejection rejections
dislocation dislocations
diatom diatoms
macaque macaques
lamppost lampposts
reindeer reindeers
bedsore bedsores
maraca maracas
sightline sightlines
shitload shitloads
tricep triceps
riff riffs
granuloma granulomas
spritzer spritzers
thrower throwers
champagne champagnes
golem golems
hackle hackles
electrodynamic electrodynamics
substitution substitutions
wetback wetbacks
malt malts malted
synthesiser synthesisers
ablution ablutions
monger mongers mongering
deportee deportees
jarhead jarheads
miniskirt miniskirts
remainder remainders
grand grands
residency residencies
pap paps
elective electives
buzzword buzzwords
alkaloid alkaloids
lightsaber lightsabers
opioid opioids
farmhand farmhands
meme memes
plow plows plowed plowing
assertion assertions
shockwave shockwaves
cantaloupe cantaloupes
survivalist survivalists
locksmith locksmiths
between betweens
burnout burnouts
intelligence intelligences
matchbook matchbooks
pussycat pussycats
tum tums
barstool barstools
peon peons
leaver leavers
burning burnings
rial rials
cur curs
implode implodes imploded imploding
storyboard storyboards
transducer transducers
lowland lowlands
interception interceptions
corvette corvettes
bedtime bedtimes
wonton wontons
pornographer pornographers
tranquilliser tranquillisers
earmuff earmuffs
wheelie wheelies
caster casters
fornicator fornicators
babysit babysits babysitting
varmint varmints
chiropractor chiropractors
uppercut uppercuts
sapper sappers
roadwork roadworks
arson arsons
loader loaders
ark arks
workplace workplaces
topsail topsails
paintball paintballs
axon axons
roamer roamers
mullet mullets
tumbleweed tumbleweeds
dermatologist dermatologists
vacationer vacationers
how hows
scarab scarabs
trilobite trilobites
macaw macaws
barista baristas
verst versts
hometown hometowns
databank databanks
blintz blintzes
underclothe underclothes
motorcar motorcars
keck kecks
doodad doodads
klingon klingons
herder herders
lemonade lemonades
dysfunction dysfunctions
stealer stealers
necessary necessaries
grump grumps
stockyard stockyards
playlist playlists
entrée entrées
nasty nasties
steelwork steelworks
culotte culottes
avenger avengers
crewmate crewmates
centime centimes
cultist cultists
zeppelin zeppelins
fryer fryers
rover rovers
placemat placemats
orthotic orthotics
radiation radiations
minivan minivans
lasagna lasagnas
clavicle clavicles
hobo hoboes
cryptographer cryptographers
symbiont symbionts
wildebeest wildebeests
byline bylines
ultrasound ultrasounds
trash trashes trashed trashing
drover drovers
patella patellas
neurologist neurologists
connector connectors
hombre hombres
incidence incidences
whiner whiners
quid quids
latke latkes
futon futons
adenoid adenoids
soothsayer soothsayers
sledgehammer sledgehammers
forcefield forcefields
hellhound hellhounds
decapitation decapitations
anklet anklets
fide fides
hematoma hematomas
clubber clubbers
spiritualist spiritualists
kabob kabobs
orangutan orangutans
drab drabs
lakh lakhs
bobcat bobcats
bootleg bootlegs bootlegging
sodomite sodomites
cardholder cardholders
exaggeration exaggerations
victual victuals
roundhead roundheads
bobblehead bobbleheads
landfill landfills
rationalization rationalizations
firehouse firehouses
crampon crampons
reboot reboots rebooted rebooting
chainsaw chainsaws
sheik sheiks
depravity depravities
shootout shootouts
restoration restorations
fistula fistulas
bookkeeper bookkeepers
preschooler preschoolers
epaulette epaulettes
trailblazer trailblazers
cossack cossacks
spliff spliffs
bopper boppers
windbreaker windbreakers
framer framers
leaguer leaguers
stoplight stoplights
astrophysicist astrophysicists
anorexic anorexics
intangible intangibles
numbskull numbskulls
telecom telecoms
cuisine cuisines
arthropod arthropods
assize assizes
pathology pathologies
takedown takedowns
treason treasons
lawbreaker lawbreakers
epiphany epiphanies
wolverine wolverines
flamethrower flamethrowers
bedspring bedsprings
chrome chromes
haunting hauntings
curveball curveballs
coon coons
nanosecond nanoseconds
identifier identifiers
brawler brawlers
rottweiler rottweilers
birdwatcher birdwatchers
engram engrams
benzodiazepine benzodiazepines
supernova supernovas
poofter poofters
pinwheel pinwheels
workstation workstations
schnitzel schnitzels
gobstopper gobstoppers
pictograph pictographs
metatarsal metatarsals
dispatcher dispatchers
modem modems
shirtsleeve shirtsleeves
fractal fractals
teleport teleports teleported teleporting
histamine histamines
achiever achievers
reveler revelers
dike dikes
outpatient outpatients
lien liens
speakeasy speakeasies
medalist medalists
shakedown shakedowns
piton pitons
snapper snappers
exotic exotics
betrayer betrayers
and ands
submersible submersibles
eyehole eyeholes
demigod demigods
migration migrations
hobbyist hobbyists
frightener frighteners
payphone payphones
singularity singularities
bestseller bestsellers
stakeholder stakeholders
interrogatory interrogatories
necromancer necromancers
fixer fixers
chickadee chickadees
rigger riggers
hobgoblin hobgoblins
absorber absorbers
arachnid arachnids
groundskeeper groundskeepers
emanation emanations
mustang mustangs
mage mages
banality banalities
symbolise symbolises
underwriter underwriters
substation substations
lookalike lookalikes
deer deers
appraiser appraisers
tranquiliser tranquilisers
legume legumes
fedora fedoras
rudiment rudiments
damn damns
rubdown rubdowns
yarmulke yarmulkes
beeper beepers
barbell barbells
exploration explorations
enfant enfants
mountie mounties
gar gars
piastre piastres
sutra sutras
pooch pooches
cologne colognes
objectify objectifies objectified objectifying
pinhole pinholes
equity equities
privateer privateers
peeling peelings
loggerhead loggerheads
eccentric eccentrics
kike kikes
legwarmer legwarmers
excretion excretions
zookeeper zookeepers
crêpe crêpes
doldrum doldrums
absurdity absurdities
wheeler wheelers
footer footers
grabber grabbers
crim crims
schoolkid schoolkids
caliper calipers
confusion confusions
sugarplum sugarplums
coordinator coordinators
whatsit whatsits
commissar commissars
stargazer stargazers
prion prions
buyout buyouts
trapdoor trapdoors
circumcision circumcisions
logbook logbooks
deceiver deceivers
leach leaches leached leaching
infestation infestations
exorcist exorcists
locator locators
tickler ticklers
rozzer rozzers
armory armories
electromagnet electromagnets
catfight catfights
stepdad stepdads
marketeer marketeers
eyedrop eyedrops
freeholder freeholders
dissection dissections
julep juleps
vertice vertices
deceit deceits
whatnot whatnots
piling pilings
niner niners
gurkha gurkhas
realization realizations
titer titers
solver solvers
triathlon triathlons
idolater idolaters
sigil sigils
holdup holdups
hayseed hayseeds
muttering mutterings
adjuster adjusters
gunfight gunfights
modern moderns
boyar boyars
efficiency efficiencies
serration serrations
statin statins
meld melds melded melding
meteorologist meteorologists
pique piques piqued
signifier signifiers
pediatrician pediatricians
dawg dawgs
picketer picketers
satisfaction satisfactions
prole proles
mothership motherships
worksheet worksheets
underachiever underachievers
stent stents
fraudster fraudsters
safehouse safehouses
facade facades
penitent penitents
louver louvers
caseworker caseworkers
expat expats
holodeck holodecks
frag frags
education educations
pollster pollsters
initiation initiations
gunfighter gunfighters
borderland borderlands
adapter adapters
semiotic semiotics
whisperer whisperers
lifter lifters
marmot marmots
tubule tubules
fashionista fashionistas
fibroid fibroids
clothesline clotheslines
scrapper scrappers
spiderweb spiderwebs
goober goobers
wharf wharfs
ingest ingests ingested ingesting
collectable collectables
boilermaker boilermakers
strobe strobes
jodhpur jodhpurs
mud muds
resurrection resurrections
mender menders
pederast pederasts
partygoer partygoers
byproduct byproducts
crusher crushers
impersonation impersonations
dingbat dingbats
lapdog lapdogs
filet filets
zillion zillions
madam madams
widget widgets
honky honkies
velociraptor velociraptors
par pars
omega omegas
microbrew microbrews
favela favelas
polluter polluters
guardrail guardrails
modulator modulators
lipid lipids
morale morales
deportation deportations
superhuman superhumans
imam imams
factoid factoids
rill rills
solicitation solicitations
minotaur minotaurs
sherpa sherpas
sponsorship sponsorships
dollhouse dollhouses
fave faves
causality causalities
deltoid deltoids
humvee humvees
desertion desertions
profanity profanities
git gits
homophobe homophobes
hoofprint hoofprints
highlighter highlighters
shyster shysters
teenybopper teenyboppers
genome genomes
miscalculation miscalculations
metalwork metalworks
switchblade switchblades
burka burkas
lynching lynchings
rationale rationales
pilsner pilsners
meth meths
alike alikes
unitard unitards
condenser condensers
scallion scallions
woolen woolens
footlight footlights
archon archons
bodybuilder bodybuilders
scraper scrapers
firefight firefights
lymphocyte lymphocytes
anteater anteaters
mantra mantras
joyrider joyriders
romper rompers
cannula cannulas
lounger loungers
bicuspid bicuspids
shipper shippers
hammerhead hammerheads
weeper weepers
resemblance resemblances
reassignment reassignments
immunity immunities
kopek kopeks
vicissitude vicissitudes
consumable consumables
oscillator oscillators
counterweight counterweights
skirmisher skirmishers
microfiber microfibers
moonshiner moonshiners
cotillion cotillions
regeneration regenerations
toothache toothaches
footing footings
moderator moderators
keypad keypads
towelette towelettes
misspelling misspellings
riverbank riverbanks
nightspot nightspots
layover layovers
inefficiency inefficiencies
halogen halogens
correlation correlations
timecard timecards
paleontologist paleontologists
spoor spoors
micronutrient micronutrients
papist papists
anaconda anacondas
suburbanite suburbanites
starburst starbursts
gramme grammes
footpad footpads
formulation formulations
halfwit halfwits
catfish catfishes
cellblock cellblocks
zinnia zinnias
suppressor suppressors
mountaintop mountaintops
castoff castoffs
annulment annulments
modality modalities
furlough furloughs
burgess burgesses
multivitamin multivitamins
velvet velvets
pictogram pictograms
supercede supercedes
wuss wusses
uplink uplinks
mongoloid mongoloids
hypnotist hypnotists
carjacker carjackers
ingle ingles
scad scads
metabolize metabolizes metabolized metabolizing
sommelier sommeliers
mammary mammaries
tectonic tectonics
rapscallion rapscallions
agglutinin agglutinins
chippy chippies
kat kats
butty butties
flatworm flatworms
evader evaders
grandmaster grandmasters
telomere telomeres
savant savants
organophosphate organophosphates
earache earaches
motherboard motherboards
birdcall birdcalls
woodchuck woodchucks
caseload caseloads
showerhead showerheads
volleyball volleyballs
provocateur provocateurs
handmaid handmaids
healing healings
facilitator facilitators
bunting buntings
anion anions
fakir fakirs
macrophage macrophages
diode diodes
reinvent reinvents reinvented reinventing
alimony alimonies
gumball gumballs
ministration ministrations
implantation implantations
yearling yearlings
reconvene reconvenes
clothespin clothespins
waveform waveforms
orca orcas
gulag gulags
allergen allergens
audiotape audiotapes
ficus ficuses
megawatt megawatts
orthodontist orthodontists
espadrille espadrilles
warbird warbirds
encouragement encouragements
certification certifications
regression regressions
necrophiliac necrophiliacs
zoologist zoologists
snowboarder snowboarders
bannock bannocks
langur langurs
phonic phonics
mugshot mugshots
insignia insignias
aquifer aquifers
yurt yurts
ese eses
ukulele ukuleles
melanoma melanomas
bodega bodegas
paleface palefaces
penetration penetrations
empath empaths
improvisation improvisations
oceanographer oceanographers
superstore superstores
appendectomy appendectomies
subset subsets
shale shales
aerobatic aerobatics
czar czars
defiler defilers
potpie potpies
reverend reverends
trimester trimesters
bullshitter bullshitters
nutritionist nutritionists
puncher punchers
pooper poopers
luggage luggages
fastball fastballs
digression digressions
spacer spacers
collaboration collaborations
hispanic hispanics
scientologist scientologists
evangelical evangelicals
barfly barflies
peptide peptides
slimeball slimeballs
chancer chancers
solenoid solenoids
extortionist extortionists
standoff standoffs
grackle grackles
camisole camisoles
fop fops
satin satins
airfare airfares
crawdad crawdads
ergonomic ergonomics
coffeehouse coffeehouses
whammy whammies
contrail contrails
legionary legionaries
gelada geladas
skimmer skimmers
meteoroid meteoroids
mafia mafias
hatred hatreds
bassinet bassinets
reimbursement reimbursements
forecaster forecasters
icecap icecaps
gannet gannets
capuchin capuchins
greaser greasers
acknowledgment acknowledgments
grazer grazers
alcohol alcohols
seedpod seedpods
rutabaga rutabagas
wherefore wherefores
shite shites
protégé protégés
remix remixes
sympathiser sympathisers
extermination exterminations
hayride hayrides
carpool carpools carpooling
megabyte megabytes
keycard keycards
flanker flankers
hitchhike hitchhikes hitchhiked hitchhiking
spacecraft spacecrafts
abalone abalones
globalist globalists
floodwater floodwaters
beekeeper beekeepers
variance variances
doberman dobermans
positron positrons
mythology mythologies
blowhole blowholes
yuan yuans
enabler enablers
squaddie squaddies
consolation consolations
mammogram mammograms
ism isms
fusilier fusiliers
screwworm screwworms
cubit cubits
fallback fallbacks
boule boules
racecar racecars
boson bosons
rater raters
parole paroles
biorhythm biorhythms
grenadier grenadiers
chub chubs
beanie beanies
gunwale gunwales
furball furballs
crawlspace crawlspaces
duelist duelists
flapper flappers
dignity dignities
isolationist isolationists
blurb blurbs
crewmember crewmembers
fertiliser fertilisers
potholder potholders
shoebox shoeboxes
facelift facelifts
status statuses
arraignment arraignments
finca fincas
cabana cabanas
automaker automakers
vulgarity vulgarities
memoire memoires
morph morphs morphed morphing
infinity infinities
morel morels
desktop desktops
tabletop tabletops
sprit sprits
hominid hominids
paladin paladins
racoon racoons
pentagram pentagrams
timeshare timeshares
speechwriter speechwriters
laureate laureates
floret florets
bottler bottlers
despatch despatches despatched
gimp gimps
eminence eminences
lifesaver lifesavers
hightail hightails hightailed hightailing
panhandler panhandlers
marketer marketers
trope tropes
public publics
malignancy malignancies
piker pikers
remission remissions
gastropod gastropods
cm cms
noisemaker noisemakers
disposal disposals
bolus boluses
cheapskate cheapskates
torque torques
magnetar magnetars
massager massagers
greaseball greaseballs
underpinning underpinnings
nanometer nanometers
firestorm firestorms
phosphor phosphors
inhalant inhalants
egret egrets
boll bolls
nabob nabobs
bullhorn bullhorns
windowsill windowsills
cancel canceled canceling
encrypt encrypted encrypting
addict addicted
misplace misplaced misplacing
derange deranged
dial dialed dialing
traumatize traumatized traumatizing
torch torched torching
obligate obligated
reassign reassigned reassigning
fuel fueled fueling
label labeled labeling
cage caged caging
task tasked
decease deceased
authorise authorised authorising
poise poised
disbar disbarred
vest vested vesting
fixate fixated fixating
verse versed
betroth betrothed
reschedule rescheduled rescheduling
party partied partying
blindside blindsided blindsiding
poop pooped pooping
widow widowed
medicate medicated medicating
estrange estranged
remodel remodeled remodeling
ace aced acing
color colored
level leveled leveling
overdose overdosed overdosing
total totaled totaling
fate fated
model modeled modeling
mandate mandated
infatuate infatuated
derail derailed derailing
decommission decommissioned
profile profiled profiling
theme themed
broker brokered
intoxicate intoxicated
reconnect reconnected reconnecting
zone zoned zoning
gift gifted gifting
barf barfed barfing
notarize notarized
intubate intubated
source sourced sourcing
coke coked
pimp pimped pimping
trail trailed trailing
leverage leveraged leveraging
sideline sidelined sidelining
script scripted
title titled
reference referenced referencing
laminate laminated
blank blanked blanking
slay slayed
squish squished squishing
repaint repainted repainting
predetermine predetermined
constipate constipated
decrypt decrypted decrypting
jinx jinxed
carjack carjacked carjacking
void voided voiding
birth birthed birthing
motorize motorized
unravel unraveled unraveling
mire mired
chisel chiseled chiseling
flaw flawed
counsel counseled counseling
outfit outfitted outfitting
archive archived archiving
mentor mentored mentoring
goddamn goddamned
retrofit retrofitted
shaft shafted shafting
stud studded
digitize digitized digitizing
horn horned
know knowed
baptise baptised
proof proofed proofing
metastasize metastasized
downsize downsized downsizing
factor factored
marginalize marginalized
wig wigged
bronze bronzed
hype hyped hyping
intention intentioned
misdiagnose misdiagnosed
restart restarted restarting
rediscover rediscovered rediscovering
eviscerate eviscerated eviscerating
miff miffed
encrust encrusted
quarrel quarreled quarreling
reelect reelected
scope scoped scoping
skyrocket skyrocketed skyrocketing
exorcise exorcised exorcising
mismatch mismatched
funnel funneled funneling
stripe striped
recuse recused recusing
configure configured configuring
whup whupped whupping
pummel pummeled
handcraft handcrafted
immigrate immigrated
section sectioned
sodomize sodomized sodomizing
pay payed
crust crusted
shoplift shoplifted
layer layered
chuff chuffed
hospitalise hospitalised
bend bended
materialise materialised materialising
microwave microwaved microwaving
shutter shuttered
craze crazed
underfund underfunded
protract protracted
prearrange prearranged
memorise memorised
deputize deputized deputizing
deadlock deadlocked
wrack wracked wracking
candy candied
sanitize sanitized sanitizing
copyright copyrighted
emboss embossed
gap gapped
supercharge supercharged
inebriate inebriated
tool tooled tooling
bunk bunked bunking
redesign redesigned redesigning
conceit conceited
hunker hunkered
imbed imbedded
vandalise vandalised vandalising
sterilise sterilised
sate sated
herniate herniated
acclimate acclimated acclimating
frazzle frazzled
reheat reheated
serrate serrated
criticise criticised criticising
engross engrossed
retest retested
circuit circuited
nix nixed
